FID,FULLNAME,Shape_Leng,Type,Shape_Le_1,Shape_Area
363,Schuster,2289.13722236,Park,2289.13722236,147570.119289
364,Stoepel No. 2,6245.92268539,Park,6245.92268539,1596384.05394
365,Lasalle Parkway,700.26162566,Park,700.261625665,22435.3687656
366,Lasalle Parkway,566.45165845,Park,566.451658454,17349.9268865
367,Simanek,2576.55191159,Park,2576.55191159,287507.102955
368,Lasky,3715.25089141,Park,3715.25089141,745828.199835
369,Holbrook-Pagel,408.40942654,Park,408.409426545,7250.56567929
370,Ryan,1556.43027679,Park,1556.43027679,136743.028529
371, ,551.92177991,Park,551.921779912,17223.1205605
372,Quincy Parkway,222.27558567,Park,222.275585676,3441.51352006
373,Virginia Park,280.33261884,Park,280.332618849,3998.24201344
374, ,658.01401422,Park,658.01401422,22911.563724
375,Campus Martius,0,Park,1060.40523212,70901.4076213
376,Collins,659.67984499,Park,659.679844997,23526.4544985
377,Stein,4229.69083848,Park,4229.69083848,1100247.27098
378,Cadillac Square,0,Park,1453.03762736,45764.6000029
379,Mt. Elliott Park,2376.1687992,Park,2376.1687992,321389.981913
380,Fitzpatrick-Warwick,2390.21646168,Park,2390.21646168,170635.138928
381,Hart Plaza,0,Park,4513.61648036,717307.049071
382,Fitzpatrick,1708.88095213,Park,1708.88095213,122551.648281
383,E. Jefferson Service Yard,1597.53422871,Park,1597.53422871,99384.2545486
384,E. Jefferson Service Yard,1585.20070193,Park,1585.20070193,76285.6984709
385,Weaver-Penrod,1763.67742692,Park,1763.67742692,179348.549362
386,Belle Isle,33502.7010249,Park,33502.7010249,42472608.4878
387,Greenview-Wadsworth,1667.32618748,Park,1667.32618748,113835.736892
388,Kiwanis Club No. 1,834.7034304,Park,834.703430408,40486.2033204
389,Rosemont-Acacia,1361.91903008,Park,1361.91903008,81807.9656817
390,Hackett,1950.3752587,Park,1950.3752587,138217.953853
